,0,1,2,3,4,5,6
10492,Measurement:,Impedance Spectroscopy,,,,,
10493,Notes:,,,,,,
10494,Date and time:,2023-06-29 17:48:50,,,,,
10495,Fixed at 41 freqs,,,,,,
10496,freq / Hz,neg. Phase / Â°,Idc / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F
10497,50000.00,10.317,0.007,771.499,759.024,138.177,4.341E+07
10498,39716.40,8.946,0.002,787.400,777.821,122.445,3.056E+07
10499,31547.90,7.773,0.012,798.307,790.971,107.974,2.140E+07
10500,25059.40,6.808,0.002,806.629,800.942,95.616,1.506E+07
10501,19905.40,6.024,0.002,812.567,808.080,85.281,1.067E+07
10502,15811.40,5.315,0.012,817.478,813.964,75.721,7.523E+06
10503,12559.40,4.886,-0.002,820.578,817.596,69.897,5.516E+06
10504,9976.31,4.699,0.002,825.048,822.274,67.593,4.237E+06
10505,7924.47,4.650,-0.007,827.434,824.711,67.079,3.340E+06
10506,6294.63,4.679,-0.002,832.226,829.453,67.884,2.685E+06
10507,5000.00,4.910,0.007,835.993,832.925,71.554,2.248E+06
10508,3971.64,5.228,0.002,841.842,838.340,76.712,1.914E+06
10509,3154.79,5.869,-0.021,850.331,845.873,86.952,1.724E+06
10510,2505.94,6.634,0.079,850.938,845.240,98.310,1.548E+06
10511,1990.54,7.112,-0.103,871.851,865.143,107.943,1.350E+06
10512,1581.14,8.582,0.002,872.673,862.902,130.226,1.294E+06
10513,1255.94,9.676,0.021,891.040,878.364,149.763,1.182E+06
10514,997.631,11.266,-0.155,897.264,879.974,175.293,1.099E+06
10515,792.447,13.052,-0.021,922.002,898.182,208.221,1.037E+06
10516,629.463,14.992,-0.002,943.242,911.138,243.996,9.650E+05
10517,500.000,17.429,0.017,969.481,924.971,290.381,9.123E+05
10518,397.164,20.175,0.017,1.003E+03,941.413,345.896,8.632E+05
10519,315.479,23.347,0.007,1.044E+03,958.648,413.781,8.202E+05
10520,250.594,27.009,0.007,1.097E+03,976.982,497.982,7.841E+05
10521,199.054,31.142,0.012,1.166E+03,997.885,602.959,7.541E+05
10522,158.114,35.657,0.012,1.257E+03,1.022E+03,732.958,7.282E+05
10523,125.594,40.460,0.012,1.381E+03,1.050E+03,895.840,7.069E+05
10524,99.763,45.339,0.012,1.544E+03,1.086E+03,1.098E+03,6.886E+05
10525,79.245,50.073,0.012,1.755E+03,1.127E+03,1.346E+03,6.702E+05
10526,62.946,54.466,0.012,2.031E+03,1.180E+03,1.653E+03,6.536E+05
10527,50.000,58.559,0.012,2.391E+03,1.247E+03,2.040E+03,6.408E+05
10528,39.716,61.907,0.017,2.832E+03,1.334E+03,2.498E+03,6.235E+05
10529,31.548,64.833,0.017,3.397E+03,1.444E+03,3.074E+03,6.094E+05
10530,25.059,67.222,0.017,4.088E+03,1.583E+03,3.769E+03,5.935E+05
10531,19.905,69.250,0.017,4.954E+03,1.755E+03,4.633E+03,5.794E+05
10532,15.811,70.835,0.017,6.016E+03,1.975E+03,5.682E+03,5.645E+05
10533,12.559,72.013,0.017,7.323E+03,2.262E+03,6.966E+03,5.497E+05
10534,9.976,73.072,0.017,8.885E+03,2.587E+03,8.500E+03,5.328E+05
10535,7.924,73.868,0.017,1.085E+04,3.015E+03,1.042E+04,5.190E+05
10536,6.295,74.364,0.021,1.323E+04,3.567E+03,1.274E+04,5.040E+05
10537,5.000,74.652,0.021,1.614E+04,4.271E+03,1.556E+04,4.889E+05
